product_id,product_name,category,price
P2000,Stand Yet,Books,193.52
P2001,Lot Although,Electronics,475.85
P2002,Finally Defense,Home,368.68
P2003,Animal Strong,Home,303.34
P2004,Decision Various,Books,86.45
P2005,Analysis Four,Clothing,86.44
P2006,Worker Force,Electronics,38.46
P2007,Myself Information,Electronics,434.43
P2008,Teacher Of,Home,304.55
P2009,Material Environment,Books,356.96
P2010,Although Some,Books,20.09
P2011,Radio Cut,Books,485.26
P2012,Feeling Heavy,Books,417.9
P2013,Training Statement,Electronics,114.05
P2014,Anyone Tree,Clothing,99.09
P2015,Reality Glass,Home,99.87
P2016,Explain Capital,Electronics,159.08
P2017,Successful Hold,Books,267.13
P2018,Leave Visit,Books,221.65
P2019,Instead Six,Home,152.7
P2020,Less Want,Clothing,309.81
P2021,Imagine Group,Clothing,78.35
P2022,Culture Model,Clothing,153.15
P2023,Role Modern,Books,189.52
P2024,Hold Window,Electronics,233.47
P2025,Subject Natural,Electronics,394.74
P2026,Example Suddenly,Clothing,107.84
P2027,Beautiful Short,Home,261.97
P2028,Language Bar,Clothing,300.28
P2029,Law Play,Clothing,32.76
P2030,Test Couple,Home,307.7
P2031,Offer Finally,Clothing,93.56
P2032,Full Board,Home,41.88
P2033,Base Generation,Home,474.95
P2034,Recent Find,Electronics,483.16
P2035,Follow Like,Home,406.11
P2036,Player Series,Clothing,159.26
P2037,Last Compare,Home,57.86
P2038,Road Life,Clothing,345.27
P2039,Have Likely,Home,225.67
P2040,And Short,Electronics,69.8
P2041,True Which,Clothing,252.64
P2042,Head Possible,Clothing,26.85
P2043,Learn Face,Clothing,455.57
P2044,Purpose Strong,Home,136.8
P2045,Yourself Art,Electronics,334.64
P2046,Bad Remain,Electronics,162.74
P2047,Public Into,Electronics,264.83
P2048,Himself Must,Electronics,277.89
P2049,Suddenly So,Home,100.58
P2050,Respond Collection,Clothing,485.1
P2051,Allow Character,Books,389.82
P2052,Time Political,Electronics,470.35
P2053,Resource Station,Books,448.47
P2054,Left Already,Home,302.97
P2055,Card Audience,Home,461.72
P2056,Eat Start,Books,53.36
P2057,Quite Hit,Clothing,106.03
P2058,High Identify,Books,32.16
P2059,Our Alone,Home,169.41
P2060,Point Class,Books,200.45
P2061,Respond Listen,Electronics,142.96
P2062,Hospital Hot,Electronics,416.08
P2063,Life Source,Clothing,184.81
P2064,Ball Painting,Books,147.66
P2065,Certain Next,Books,275.92
P2066,Hit Information,Books,79.05
P2067,Former Rate,Books,403.08
P2068,Family Enjoy,Clothing,46.53
P2069,Build Agree,Home,493.57
P2070,Simply Cultural,Clothing,388.4
P2071,Money National,Home,107.37
P2072,Impact White,Home,12.71
P2073,Or Buy,Home,409.58
P2074,Everybody Stage,Books,356.36
P2075,Ever Score,Clothing,367.21
P2076,Like Difficult,Home,387.92
P2077,Population Feeling,Electronics,46.28
P2078,Rule Whom,Home,185.65
P2079,Military Decision,Clothing,66.78
P2080,Can Central,Books,432.92
P2081,Tonight Back,Electronics,315.42
P2082,Live Consider,Home,172.14
P2083,Way Sell,Books,41.14
P2084,Light Begin,Clothing,162.38
P2085,Take Rest,Clothing,169.34
P2086,Through Front,Electronics,367.51
P2087,Region Hand,Electronics,322.4
P2088,Security Attention,Home,444.73
P2089,Oil Occur,Books,241.39
P2090,Fill Vote,Books,68.6
P2091,First Today,Clothing,359.49
P2092,Coach Seek,Clothing,382.78
P2093,Security Within,Home,285.03
P2094,School Pull,Home,387.77
P2095,Contain Student,Clothing,251.96
P2096,High Movie,Clothing,266.14
P2097,Door Campaign,Books,219.5
P2098,Deep Structure,Books,22.46
P2099,Chair Economic,Books,62.87
